('Pakistan', 'Sweden'),('Brazil', 'Germany (FRG)'),0.24962962963
('Finland', 'UK'),('India', 'Russia'),-0.2275
('India', 'Netherlands'),('China', 'Russia'),0.287
('Germany (FRG)', 'Italy'),('Sweden', 'Germany (FRG)'),-0.111724137931
('Israel', 'Germany (FRG)'),('Hungary', 'USSR'),-0.135714285714
('China', 'Russia'),('Romania', 'USSR'),-0.298333333333
('Egypt', 'France'),('Norway', 'Germany (FRG)'),-0.1328
('Greece', 'Italy'),('India', 'Italy'),0.2376
('Iran', 'Russia'),('Iraq', 'USSR'),-0.320303030303
('Brazil', 'Italy'),('Venezuela', 'Italy'),0.2
('Iraq', 'France'),('Greece', 'Netherlands'),-0.172608695652
('Poland', 'USSR'),('Syria', 'USSR'),0.306944444444
('Turkey', 'UK'),('Pakistan', 'UK'),-0.108181818182
('Czechoslovakia', 'USSR'),('Denmark', 'Sweden'),-0.198
('Pakistan', 'UK'),('Pakistan', 'France'),-0.123
('Iraq', 'USSR'),('Iraq', 'USSR'),0.451212121212
('Sweden', 'Germany (FRG)'),('USSR', 'Czechoslovakia'),-0.128461538462
('Egypt', 'USSR'),('Denmark', 'Sweden'),-0.239333333333
('Greece', 'Germany (FRG)'),('Switzerland', 'Germany (FRG)'),0.222413793103
('Norway', 'Germany (FRG)'),('Germany (FRG)', 'Netherlands'),0.210434782609
('USA', 'Germany (FRG)'),('Switzerland', 'Germany (FRG)'),0.322413793103
('India', 'Russia'),('Israel', 'France'),-0.146341463415
('Switzerland', 'UK'),('USA', 'Italy'),-0.178275862069
('East Germany (GDR)', 'USSR'),('China', 'USSR'),0.197142857143
('Iran', 'Russia'),('Peru', 'France'),-0.169047619048
('North Korea', 'USSR'),('Malaysia', 'Germany (FRG)'),-0.150952380952
('Netherlands', 'Germany (FRG)'),('China', 'USSR'),-0.397619047619
('Netherlands', 'Italy'),('UK', 'Italy'),-0.13
